sujet,date,statut
Quand l'art mural marocain a-t-il commencé à incorporer des influences andalouses après la Reconquista ?,2025-10-15T15:02:35.934110,succès
Pourquoi les peintures rupestres du plateau de Gilf Kebir montrent-elles des nageurs en plein Sahara ?,2025-10-17T10:42:46.336953,succès
Comment les fresques des tombes kouchites de Kerma diffèrent-elles de celles de Napata ?,2025-10-21T10:45:09.679041,succès
Quelle est la fonction prophylactique des peintures murales sur les façades des maisons de Djenné ?,2025-10-24T10:45:37.413351,succès
Les tableaux muraux des églises coptes du Fayoum en Égypte montrent-ils des influences pharaoniques persistantes ?,2025-10-28T07:38:26.950517,succès
Comment l'artiste camerounais Pascale Marthine Tayou détourne-t-il les codes de l'art mural traditionnel ?,2025-11-04T07:37:31.386851,succès
Pourquoi les peintures murales des sanctuaires ewe du Ghana représentent-elles des divinités sous forme hybride ?,2025-11-11T07:36:40.745592,succès
Quelle technique les artistes soudanais utilisaient-ils pour créer des fresques résistant aux crues du Nil ?,2025-11-18T07:22:23.319288,succès
Comment les tableaux muraux des palais swahilis de Kilwa intégraient-ils des motifs d'Asie du Sud-Est ?,2025-11-25T07:22:44.861471,succès
Quand les artistes d'Afrique du Sud ont-ils utilisé l'art mural comme résistance visuelle pendant l'apartheid ?,2025-12-02T07:24:45.105820,succès
Pourquoi les fresques des hypogées alexandrins mélangent-elles iconographie égyptienne,2025-12-09T07:24:51.283652,succès
Comment les peintures murales des cases manjak de Guinée-Bissau codifient-elles l'organisation clanique ?,2025-12-16T07:27:01.339260,succès
Quelle est la signification des zigzags dans les tableaux muraux des populations khoisan d'Afrique australe ?,2025-12-23T07:27:02.555143,succès
Les fresques des églises rupestres du Tigray éthiopien révèlent-elles des influences arméniennes ?,2025-12-30T07:25:16.832997,succès
Comment les artistes maliens de Bamako utilisent-ils les déchets urbains pour créer des mosaïques murales ?,2026-01-06T07:29:32.820943,succès
Pourquoi les peintures murales des tombes de l'oasis de Siwa en Égypte diffèrent-elles du style pharaonique classique ?,2026-01-13T07:28:22.602211,succès
Quelle est la fonction initiatique des tableaux muraux dans les maisons de circoncision mossi du Burkina Faso ?,2026-01-20T07:30:42.300584,succès
